alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 333
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-PuddleWorld/run_624517701784150
Random seed:          333
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
30	648195030387027	16721	11	(494:75[0.16],511:50[0.13999999999999999],516:31[0.16],520:56[0.11999999999999998],531:30[0.10999999999999999],533:58[0.18000000000000002],534:64[0.16],539:36[0.12999999999999998],542:65[0.16],543:18[0.15],544:28[0.15],)	511	1317.6400000000217	-2539.1412915851297	-5101.0999999999985	11	9.616	17	8	(0.076016132735654,0.10009259906417645,0.091060594182537,0.08192728574282031,0.08100963670809622,0.10041576184612062,0.07108717946017544,0.1120349456028551,0.06620264041592604,0.060391761358194004,0.0900664363225376,)
31	649052781669820	17249	11	(494:25[0.15],511:110[0.12999999999999998],520:45[0.10999999999999999],531:17[0.11999999999999998],533:32[0.17],534:38[0.15],539:28[0.13999999999999999],542:45[0.15],543:39[0.16],544:60[0.16],547:72[0.15],)	511	1309.1200000000222	-2294.485735812134	-5101.0999999999985	9	9.7	16	8	(0.08203934924329138,0.05901887794911144,0.07312560397488374,0.05958479891567827,0.09586499803615688,0.05946232077543099,0.07604979821552428,0.04765976675758957,0.0653396052979141,0.05029917899588925,0.10115760500517566,)
32	649862005863718	17778	10	(494:76[0.16],511:54[0.11999999999999998],520:37[0.09999999999999999],533:67[0.18000000000000002],534:38[0.16],539:46[0.15],542:33[0.13999999999999999],543:40[0.17],544:92[0.15],547:28[0.13999999999999999],)	511	1346.310000000022	-1937.151412915852	-5101.0999999999985	8	9.74	15	8	(0.08960523742700686,0.07472278942715319,0.08377328857088155,0.0965539707374797,0.07294214090474142,0.047353480366116835,0.059824108683947594,0.08433709715975503,0.0688584381604935,0.09059361194452221,)
33	650648530810016	18315	9	(494:27[0.15],520:82[0.10999999999999999],533:93[0.17],534:71[0.17],539:37[0.16],542:37[0.15],543:33[0.18000000000000002],544:82[0.13999999999999999],547:48[0.15],)	510	1704.4300000000246	-1778.8296725490193	-5101.0999999999985	12	9.554	15	8	(0.09896355197045059,0.05830019819242479,0.09318202176284042,0.07895207333094892,0.03705655542587072,0.033146079534721734,0.06837918176988904,0.08158833648198599,0.09944003054548095,)
34	651407585913927	18847	8	(494:144[0.16],520:38[0.09999999999999999],533:50[0.16],534:48[0.16],539:114[0.17],543:51[0.19000000000000003],544:17[0.12999999999999998],547:47[0.16],)	509	1704.4300000000246	-1721.3725284872298	-5101.0999999999985	12	9.784	15	8	(0.08544967848666625,0.08456492293160132,0.08948842442790314,0.07697558073515676,0.07610583305268459,0.08016522795160681,0.07910001686097966,0.08570577488103162,)
35	652152634229197	19362	8	(494:80[0.15],520:75[0.10999999999999999],533:29[0.17],534:43[0.17],539:82[0.16],543:44[0.20000000000000004],544:85[0.13999999999999999],547:70[0.17],)	508	1704.4300000000246	-1582.446305118108	-5101.0999999999985	12	9.8	14	8	(0.10855933726740616,0.07360896738206818,0.12596684677310008,0.10088772026108164,0.09578236664941144,0.10307790206031302,0.07739941224762766,0.11980037927452385,)
36	652858884358962	19891	8	(494:87[0.13999999999999999],520:44[0.09999999999999999],534:58[0.18000000000000002],539:133[0.15],543:49[0.21000000000000005],544:35[0.12999999999999998],547:81[0.16],565:21[0.15],)	508	1704.4300000000246	-1111.7649566929115	-5101.0999999999985	12	10.062	15	8	(0.08157723567688892,0.062451806879596575,0.08971446324710347,0.06618698793412679,0.09382987011845868,0.07353278144850908,0.10440903394967772,0.09676531954205278,)
37	653636660108699	20411	11	(494:61[0.12999999999999998],520:36[0.10999999999999999],534:76[0.19000000000000003],539:32[0.13999999999999999],543:62[0.22000000000000006],544:36[0.13999999999999999],547:64[0.15],565:79[0.16],573:17[0.15],574:18[0.15],575:35[0.15],)	516	1704.4300000000246	-1622.216501937983	-5101.0999999999985	12	10.378	15	8	(0.09652799370293039,0.0773486696671842,0.06681084155423914,0.0734183201563795,0.08396133907508159,0.05969681315326833,0.09931921779649548,0.09166811837074625,0.09965257651989266,0.09876364610513125,0.04956417735154017,)
38	654303721302537	20911	11	(494:35[0.11999999999999998],520:36[0.11999999999999998],534:24[0.18000000000000002],539:34[0.15],543:74[0.21000000000000005],544:23[0.15],547:129[0.13999999999999999],565:21[0.15],573:21[0.16],574:70[0.16],575:44[0.16],)	511	1817.8700000000206	-1207.237720156554	-5101.0999999999985	12	10.174	14	8	(0.09745232962130085,0.06750337880103784,0.05798801785638635,0.0769189450382322,0.09379795450830535,0.06925123014286624,0.0836656196952612,0.08379828045770656,0.052415290817263295,0.08720795934607564,0.043717912650028314,)
39	655202999019397	21441	9	(494:51[0.12999999999999998],520:39[0.12999999999999998],539:27[0.16],543:66[0.20000000000000004],544:25[0.16],547:102[0.12999999999999998],565:48[0.16],573:128[0.17],575:24[0.17],)	510	2224.2800000000316	-2092.9869999999987	-5101.0999999999985	9	10.16	14	8	(0.0751476480185052,0.08282986154502958,0.09017008731380713,0.08010920214345833,0.09655675614650139,0.07018622420454253,0.07605035056531295,0.050420870955354496,0.06700951997290952,)
