alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 666
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_658664537304250
Random seed:          666
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
25	664907456122848	13895	12	(457:61[0.15],462:29[0.08],466:65[0.21000000000000005],469:18[0.18000000000000002],484:61[0.16],491:54[0.15],497:19[0.13999999999999999],501:55[0.19000000000000003],504:32[0.13999999999999999],511:30[0.13999999999999999],516:47[0.12999999999999998],520:41[0.15],)	512	1579.290000000022	1116.7244921875063	-100.09999999999856	13	10.75	18	8	(0.09021303969593202,0.04215179045201194,0.07626643795172101,0.10150838725264852,0.09353573577361457,0.07670322531737102,0.08778124489301646,0.06651256182197565,0.08190629017714589,0.09221858454873871,0.07752771613362788,0.055314866193603596,)
26	665158519749246	14404	12	(457:29[0.13999999999999999],462:67[0.09],466:36[0.20000000000000004],469:41[0.19000000000000003],484:20[0.15],491:37[0.13999999999999999],497:39[0.15],501:65[0.18000000000000002],504:25[0.15],511:70[0.15],516:45[0.11999999999999998],520:38[0.13999999999999999],)	512	1579.290000000022	1129.0507226562565	-100.09999999999856	13	10.912	19	8	(0.0720866338822525,0.058944803634363885,0.08123914336238897,0.068143350052866,0.06991784127586756,0.07425703832134922,0.091844803970261,0.08287838052766056,0.05948857455192674,0.09594363008205224,0.06261130009646904,0.06434813492740118,)
27	665416720321862	14946	11	(457:63[0.15],462:40[0.08],466:54[0.21000000000000005],469:55[0.18000000000000002],484:63[0.16],491:34[0.15],497:26[0.16],504:43[0.16],511:32[0.13999999999999999],516:61[0.10999999999999999],520:41[0.15],)	512	1584.1300000000224	1110.8155273437555	-100.09999999999856	11	10.616	19	8	(0.07772946660046727,0.042534440281947826,0.09600972585017245,0.09018632668824207,0.09097573666576221,0.08064657347843136,0.08958537057819746,0.059166046108262926,0.08032198961463885,0.07517857903974126,0.06890457234661862,)
28	665685459806471	15494	11	(457:48[0.13999999999999999],462:62[0.09],466:46[0.20000000000000004],469:32[0.17],484:58[0.15],491:55[0.16],497:23[0.17],504:87[0.17],511:34[0.15],516:25[0.09999999999999999],520:41[0.16],)	511	1584.1300000000224	1129.1599217221203	-100.09999999999856	11	10.69	19	8	(0.08577508296520302,0.05606357886239365,0.1090491186484922,0.06881637306446589,0.09700724371005741,0.09825792677796892,0.07160099624639885,0.08107234829765803,0.06745537931982241,0.07033533469625458,0.05822506844569383,)
29	665924474963757	16001	11	(457:31[0.12999999999999998],462:38[0.08],466:33[0.19000000000000003],469:26[0.18000000000000002],484:22[0.13999999999999999],491:87[0.15],497:81[0.18000000000000002],504:64[0.16],511:51[0.16],516:61[0.10999999999999999],520:17[0.17],)	511	1584.1300000000224	1124.6408101761313	-100.09999999999856	11	10.494	17	8	(0.07554471225730698,0.046250719453321404,0.06674321638847582,0.07963131783465473,0.1015861251374768,0.07049294823757282,0.09442639282883192,0.0808764482913853,0.035017124278838144,0.060134420502322004,0.06532034079292913,)
30	666179806978089	16530	11	(457:35[0.13999999999999999],462:46[0.09],466:49[0.20000000000000004],469:39[0.19000000000000003],484:63[0.15],491:21[0.13999999999999999],504:54[0.15],511:54[0.15],516:68[0.09999999999999999],520:63[0.18000000000000002],541:19[0.15],)	511	1584.1300000000224	1120.359387475545	-100.09999999999856	11	10.734	18	8	(0.05464268963485402,0.059252248374645496,0.08276257172741802,0.08920446052392601,0.08199784297412381,0.1001894802981467,0.08407993808460734,0.0671812075883568,0.07035233019202863,0.06936450249122855,0.06812239807511714,)
31	666436699726398	17042	10	(457:87[0.15],462:37[0.08],466:53[0.19000000000000003],469:65[0.20000000000000004],484:20[0.13999999999999999],491:20[0.15],511:55[0.13999999999999999],516:52[0.09],520:54[0.17],541:68[0.16],)	511	1584.1300000000224	1092.4941291585183	-100.09999999999856	11	10.948	19	8	(0.09672296467686914,0.050387786319181616,0.07962813115282862,0.09848884284815736,0.09710527312035386,0.07843985085854929,0.07924957019877778,0.057020814067360925,0.07889073588000042,0.09487325959151285,)
32	666690777938831	17564	11	(462:52[0.09],466:88[0.18000000000000002],469:51[0.19000000000000003],491:46[0.16],511:20[0.12999999999999998],516:20[0.08],520:40[0.16],541:55[0.15],543:42[0.15],546:58[0.15],547:38[0.15],)	510	1584.1300000000224	1107.8672470588288	-100.09999999999856	11	10.628	19	8	(0.043775606547731896,0.09261277213904805,0.05611098928028164,0.06419584046420489,0.05956675591842806,0.06519669603030957,0.09972918820014443,0.10184463214093223,0.0904406163265455,0.07096546289549245,0.08455861784783493,)
33	666954882390579	18093	10	(466:70[0.17],491:33[0.15],511:95[0.13999999999999999],516:42[0.09],520:98[0.17],541:38[0.13999999999999999],546:34[0.13999999999999999],547:50[0.16],549:23[0.15],550:28[0.15],)	511	1584.1300000000224	1119.8421135029414	-100.09999999999856	11	10.878	20	8	(0.10342728094657322,0.07744102914617255,0.06819712638231497,0.05030269665742404,0.09384515656141428,0.06083849993690978,0.05665587826232024,0.09264708415366193,0.08606161820011703,0.09750211293775637,)
34	667204083827040	18625	10	(466:66[0.16],491:72[0.16],511:36[0.12999999999999998],516:78[0.09999999999999999],520:59[0.16],541:74[0.15],546:48[0.15],547:28[0.15],549:22[0.16],550:27[0.16],)	510	1584.1300000000224	1125.5502823529475	-100.09999999999856	11	10.436	20	8	(0.08259386840038288,0.06577146965699569,0.05221805082366367,0.07025610353595631,0.11287998645152496,0.09138183650013981,0.05967553946967438,0.08027555147937392,0.06107510136729884,0.06705610004297333,)
