alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze-ActorCriticPendulum/run_769851943476400
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
28	849158424366216	25362	6	(489:247[0.18000000000000002],520:105[0.10999999999999999],523:33[0.17],524:67[0.15],530:40[0.17],535:37[0.15],)	529	2301.0756922526434	-470.3269013145681	-14695.974592277995	8	9.592	15	8	(0.06730009469765286,0.08060640279753371,0.1083644327783351,0.09804715110823865,0.09861744746912178,0.05390277734461537,)
29	850649269541290	26001	5	(489:58[0.17],520:29[0.09999999999999999],523:21[0.18000000000000002],524:113[0.16],535:414[0.16],)	635	2584.9118333758884	-670.1948266054981	-14691.522074905208	9	11.3	15	8	(0.07562687736966842,0.07209955520864167,0.09350139897988066,0.06960819257651886,0.059464759268780254,)
30	851997081090478	26563	6	(489:101[0.18000000000000002],520:167[0.10999999999999999],523:195[0.19000000000000003],524:34[0.15],535:24[0.15],537:42[0.15],)	563	2584.9118333758884	-471.58292206164793	-14691.601808872027	9	10.232	15	8	(0.11301891784687264,0.08448392216632482,0.09589938772169374,0.10237138683599636,0.0986874147898582,0.08267004348052445,)
31	854046278495486	27387	6	(489:62[0.17],520:156[0.09999999999999999],523:108[0.18000000000000002],524:45[0.16],537:395[0.16],538:43[0.15],)	809	2584.9118333758884	-1409.6373228801108	-14694.754679892812	9	14.482	12	8	(0.07753544924380984,0.06201007117529878,0.09617589948111739,0.09128102934588593,0.07350076315291026,0.06684616448989304,)
32	855395686905100	27910	4	(489:111[0.18000000000000002],523:203[0.17],537:106[0.15],538:86[0.16],)	506	2584.9118333758884	-1232.890939183684	-14717.150188455511	9	9.36	13	8	(0.08351800831555682,0.07557944318028026,0.053685992034019574,0.06815512657194156,)
33	856731297741663	28414	7	(489:71[0.19000000000000003],523:26[0.16],537:224[0.16],538:88[0.17],540:56[0.15],541:23[0.15],543:16[0.15],)	504	2608.023654316477	-1110.7113445853577	-14690.920946554832	9	9.428	13	8	(0.09758304327967512,0.08987891959408817,0.07745883958266915,0.07706718631190318,0.10137314923525029,0.07866992527087376,0.08428261412129945,)
34	858280586034600	28968	5	(489:26[0.18000000000000002],523:105[0.17],537:196[0.15],540:79[0.16],543:130[0.16],)	536	2359.1730251166227	-1682.3349403871475	-14690.671637960255	8	10.06	13	8	(0.08640342381462306,0.08388876798728641,0.0694638038779473,0.08158188872569352,0.07302744695991996,)
35	859765541466418	29480	4	(489:154[0.19000000000000003],523:97[0.16],540:170[0.17],543:84[0.15],)	505	2359.1730251166227	-1163.8828691855585	-14692.797285673021	8	9.758	14	8	(0.05207892285840105,0.06416740255859862,0.06771690532031173,0.06916789495029449,)
36	861380252696948	30010	4	(489:115[0.18000000000000002],523:38[0.17],540:179[0.16],543:190[0.16],)	522	2670.448389621201	-1356.098951200054	-14697.639081361744	8	9.984	14	8	(0.06316150875742935,0.10417532270358114,0.06808339035927347,0.038896777068437485,)
37	862943342898519	30513	5	(489:88[0.19000000000000003],523:119[0.18000000000000002],540:116[0.15],543:139[0.15],548:42[0.15],)	504	2670.448389621201	-1266.5477013637703	-14694.437676692894	8	9.664	14	8	(0.0884333579091048,0.07935683909562162,0.08717289468569123,0.0974644823719571,0.09267846361044149,)
