alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_773495747581566
Random seed:          1111
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
27	781011311499356	14895	6	(476:47[0.21000000000000005],492:161[0.09999999999999999],508:105[0.18000000000000002],523:25[0.20000000000000004],527:151[0.09999999999999999],533:16[0.15],)	505	-40.12	-1075.6644950495051	-10000.0	11	12.112	19	8	(0.11820206079270906,0.07795682036161825,0.09843210427369742,0.10639752611327527,0.07400065203583484,0.11585746876594545,)
28	781338596704017	15412	6	(476:44[0.22000000000000006],492:41[0.09],508:72[0.17],523:124[0.21000000000000005],527:30[0.09],533:195[0.16],)	506	-40.12	-1278.2149011857712	-10000.0	11	12.724	19	8	(0.07530638155677132,0.06593252192011678,0.07803263132375624,0.08194974400702344,0.06279092156066254,0.06554960150845464,)
29	781584835460308	15912	6	(476:110[0.23000000000000007],492:45[0.09999999999999999],508:22[0.18000000000000002],523:79[0.20000000000000004],527:182[0.09999999999999999],533:68[0.15],)	506	-39.4	-954.7359288537551	-10000.0	14	12.996	19	8	(0.08647382457391962,0.07253504647271335,0.09937500092471083,0.08939177314800736,0.0614431490714947,0.08095831709973815,)
30	781898665413316	16412	6	(476:19[0.22000000000000006],492:130[0.10999999999999999],508:71[0.19000000000000003],523:18[0.21000000000000005],527:123[0.09],533:145[0.16],)	506	-37.82	-1237.0334782608695	-10000.0	14	13.036	18	8	(0.1232712839089511,0.07196762843632587,0.08528542939633867,0.0830867194835415,0.0691719472272307,0.09086306549345909,)
31	782195001162765	16912	6	(476:134[0.23000000000000007],492:36[0.09999999999999999],508:55[0.20000000000000004],523:140[0.22000000000000006],527:53[0.08],533:88[0.15],)	506	-37.82	-1219.7869169960475	-10000.0	14	12.846	18	8	(0.08481483578594447,0.07711613285352961,0.09038604959523931,0.09331084943089499,0.06314408857183829,0.06709784164714468,)
32	782514801180391	17426	5	(492:73[0.10999999999999999],508:90[0.21000000000000005],523:176[0.21000000000000005],527:38[0.09],533:129[0.13999999999999999],)	506	-37.76	-1022.9226877470356	-10000.0	13	13.354	19	8	(0.06706383222903271,0.07092646329666678,0.07289188720156914,0.06695334717200657,0.0668965850798074,)
33	782763843438624	17949	5	(492:149[0.11999999999999998],508:40[0.22000000000000006],523:43[0.20000000000000004],533:212[0.12999999999999998],537:61[0.15],)	505	-37.05	-901.0964752475252	-10000.0	13	13.484	20	8	(0.07455303814457624,0.060193246251033075,0.09505792007901033,0.07702596800939034,0.08105388673887887,)
34	783005631398150	18455	4	(508:43[0.23000000000000007],523:81[0.21000000000000005],533:129[0.11999999999999998],537:252[0.16],)	505	-36.33	-951.4491683168316	-10000.0	14	13.194	19	8	(0.10677341716147319,0.06759919303378228,0.07414802750244597,0.07566182911443169,)
35	783326973664962	18955	4	(508:198[0.24000000000000007],523:83[0.22000000000000006],533:135[0.10999999999999999],537:88[0.15],)	504	-36.33	-1178.1180158730158	-10000.0	14	13.428	20	8	(0.10377330698731325,0.062288199770699035,0.07591186142791959,0.07561196071702657,)
36	783599604511037	19455	4	(508:233[0.23000000000000007],523:130[0.23000000000000007],533:62[0.09999999999999999],537:79[0.16],)	504	-36.33	-918.1855555555554	-10000.0	14	13.922	21	8	(0.07513066176213289,0.07199755252387612,0.055811898389772775,0.0830686923599802,)
37	783977528303428	19955	4	(508:200[0.22000000000000006],523:139[0.22000000000000006],533:97[0.10999999999999999],537:68[0.17],)	504	-36.33	-1240.5602777777783	-10000.0	14	14.322	20	8	(0.07228412744366065,0.0988717964350739,0.07564205002926126,0.053616072512602385,)
38	784390488462552	20455	4	(508:116[0.21000000000000005],523:104[0.21000000000000005],533:118[0.11999999999999998],537:166[0.18000000000000002],)	504	-36.13	-1332.4973412698412	-10000.0	19	14.446	20	9	(0.09629565593982176,0.09038413249397309,0.09139882251169858,0.06811587636674424,)
39	784749379680081	20955	4	(508:268[0.22000000000000006],523:42[0.22000000000000006],533:112[0.12999999999999998],537:82[0.17],)	504	-34.51	-1132.4800793650797	-10000.0	17	14.78	20	9	(0.0695248793427798,0.09011978779296854,0.05325799702458289,0.072441853560731,)
